id,clean_text,Political,Economic,Technical,Market,Other
20,New Weekly Close occurred below the multi-month diagonal resistanceBut new Weekly Candle has formed beside t,0,0,0,1,0
21,: How much could rally prior to its upcoming Halving?I just published a Rekt Capital Newsletter featuring detailed in,0,0,0,0,1
22,: The Rekt Capital Masterclass is a collection of ALL of my courses for one affordable price If youre looking to,0,0,0,0,1
23,A few kind words about my courses:,0,0,0,0,1
24,Depends on your goalsEach course targets a different skillsetIf you'd like to learn more about data scienc,0,0,0,0,1
25,rejects at the green ~$20000 Monthly levelThis level continues to figure as resistanceAnd for as long as t,0,0,0,1,0
26,"still remains below the old green macro Range Low support of ~$20000Technically speaking, unless $BTC is abl",0,1,0,0,0
27,": Over the years, there is a clear diminishing returns in post-Halving ralliesWhich is why the skillset of timing you",0,0,0,0,1
28,"I've just published a new edition of the Rekt Capital newsletter ""Altcoin Newsletter"" featuring TA requests from",0,0,0,0,1
29,Common FAQs: Are The Videos Pre-Recorded?Yes so you can watch them at your own leisure Do I Have Lifetime Ac,0,0,0,0,1
30,"Red diagonal resistance rejected back to green supportThough BTC downside wicked below green, it didn't lose",0,0,0,1,0
31,Recent bounce on means BTC is once again challenging the multi-month downtrending resistance (red)Previous c,0,0,0,1,0
32,How much could rally prior to its upcoming Halving?I just published a Rekt Capital Newsletter featuring deta,0,0,0,1,0
34,": ""...that's how you get in a debt spiral. And, that's where the United States is right now."" -",0,1,0,0,0
35,"Over the years, there is a clear diminishing returns in post-Halving ralliesWhich is why the skillset of tim",0,1,0,0,0
36,A brief history of rallies prior to and after the Halving eventre-Halving : +636%Post-Halving : +8950%,0,0,0,1,0
37,According to the Three Macro Triangles... tends to retrace anything between % to % upon breakdown from,0,0,0,1,0
38,There's something to be said about the people who are so emotionally invested in trying to convince others of the m,0,0,0,0,1
39,Interesting fact worth mentioning about Halvings is that it's unclear when the upcoming Halving event will occ,0,1,0,0,0
40,"Historically, has bottomed -547 days before its HalvingIf $BTC is to bottom days pre-2024 Halving, a",0,0,0,1,0
41,"In previous cycles, the -week MA figured as the bottom indicatorIn this cycle, what if the -week MA wi",0,0,0,1,0
42,"According the Three Macro Triangles, is now in the Final Bottoming Out phase in an effort to form a generation",0,1,0,0,0
43,Join thousands of students today! Note: This deal is only valid until October,0,0,0,0,1
44,The Rekt Capital Masterclass is a collection of ALL of my courses for one affordable price If youre look,0,0,0,0,1
45,Many times in 's history price has bottomed in a Bear Market by performing a downside deviation below the -w,0,0,0,1,0
46,"Another way of looking at ?$BTC is right at the multi-month downtrend now but failing to breakoutMeanwhile,",0,0,0,1,0
47,is coiling in towards the apex of this trianglePrice compression precedes volatility$BTC,0,1,0,0,0
48,is still locked inside the range formed by the -week MA (orange) and -MA (blue)Price is holding suppor,0,1,0,0,0
49,New Rekt Capital Newsletter is live Volatility Incoming - here's what you should watch out for in preparati,0,0,0,1,0
50,"Of course, there is still some scope for potential downside for to register its absolute bottomBut definitel",0,0,0,1,0
51,I'm excited to announce my biggest course sale ever... Get all Rekt Capital courses for affordable priceTot,0,0,0,0,1
52,"Last week rejected from the multi-month downtrend but with very little downside follow-throughThis week,",0,0,0,1,0
53,: New Rekt Capital newsletter is out now! &amp; Altcoins - can Altcoins outperform in the coming weeks?I share my though,0,0,0,1,0
54,": I've just published a new edition of the Rekt Capital newsletter""Altcoin Newsletter - Altcoins Edition""I share my",0,0,0,1,0
55,"I've just published a new edition of the Rekt Capital newsletter""Altcoin Newsletter - Altcoins Edition""I s",0,0,0,1,0
56,From the point of view of history and data science...Anything below $35000 let alone $20000 for will likely,0,0,0,1,0
57,"Later today, I'll be sharing my exclusive thoughts &amp; charts on different Altcoins in the Rekt Capital Newsletter",0,0,0,0,1
58,A major positive catalyst won't end the Bear MarketAfter all Bear Markets are shrouded with maximum pessimis,0,0,0,1,0
59,I'll be joining for a live session on YouTube to discuss my thoughts on this October and beyond,0,0,0,0,1
60,: How far along in this Bear Market do you think we are?$BTC,0,0,0,1,0
61,: What would be worse: retracing to new lows $BTC consolidating for an extended amount of time?,0,0,0,1,0
62,is right back at this multi-month resistance$BTC,0,0,0,1,0
63,It took days to bottom post-2013 peak &amp; days post-2017 peakEven if there is declining tendency by,0,0,0,1,0
64,It took days to bottom post-2013It took days to bottom post-2017 peakIf BTC had bottomed this,0,0,0,1,0
65,"When peaked in the Bull Market, it took BTC days to bottomWhen $BTC peaked in the , it took BTC",0,0,0,1,0
66,"It's been days since the November peakHistorically, it has taken at least days to register an a",0,0,0,1,0
67,It has been almost a year since the November Bull Market top$BTC,0,0,0,1,0
68,has been consolidating at current levels for monthsBut that's not enough evidence to suggest that $BTC wil,0,0,0,1,0
69,New Rekt Capital newsletter is out now! &amp; Altcoins - can Altcoins outperform in the coming weeks?I share my,0,1,0,0,0
70,It's a popular assumption that will have a accumulation range like in But if BTC breaks down to $14-$17K,0,0,0,1,0
71,"This past September, performed a Monthly Close below the green macro Range Low support of ~$20000Technically",0,0,0,1,0
72,is testing this multi-month downtrend dating to August $BTC,0,0,0,1,0
73,What would be worse: retracing to new lows $BTC consolidating for an extended amount of time?,0,0,0,1,0
74,How far along in this Bear Market do you think we are?$BTC,0,0,0,1,0
75,Most of this Bear Market downtrend has happened already$BTC,0,0,0,1,0
76,"The longer this relief rally lasts, the longer it will take to form an absolute bottom in this Bear Market$BTC",1,0,0,0,0
77,"In , days before the HalvingIn , $BTC bottomed days before the Halving (discount Ma",0,0,0,1,0
78,: My market outlook on and $ETH as Q4 beginsCheckout my new edition of the Rekt Capital Newsletter where I feature TA,0,0,0,0,1
79,is getting closer to reaching this almost year-long downtrend on the Weekly timeframe$BTC,0,0,0,1,0
80,is coiling in towards the apex of this trianglePrice compression precedes volatility$BTC,0,1,0,0,0
81,My market outlook on and $ETH as Q4 beginsCheckout my new edition of the Rekt Capital Newsletter where I fea,0,0,0,1,0
82,Welcome to Quarter $BTC,0,0,0,1,0
83,: New Rekt Capital Newsletter has been published and the S&amp - a historical comparisonSign up and read here:,0,1,0,0,0
84,"I've just published a new edition of the Rekt Capital newsletter""Altcoin Newsletter""I share my charts &amp; analysi",0,1,0,0,0
85,The risk of downside in the short-term is overwhelmingly outweighed by the prospect of reward over the long-run$BTC,0,0,0,1,0
86,"At some point in the future, will reverse and instead of patiently slowly, methodically, accumulating you will",0,1,0,0,0
87,": New Rekt Capital Newsletter is out now What's next for and $ETH?I discuss BTC, ETH, as well as Altcoin Dominanc",0,0,0,0,0
88,"New Rekt Capital Newsletter is out now What's next for and $ETH?I discuss BTC, ETH, as well as Altcoin D",0,0,0,0,1
89,"As a long-term investor, negative catalysts serve a very specific purpose:To bring $BTC prices to the lowest",0,1,0,0,0
90,New lows are a distinct possibility$BTC,0,0,0,1,0
91,"A new Quarterly Candle Close is looming largeLast Quarter, $BTC found some candle-bodied support at ~$20K (g",0,0,0,1,0
92,Additional downside continuation has taken place since yesterday which is setting $BTC up for a bearish Mont,0,0,0,1,0
93,briefly moved up but ended as an upside wick beyond black which is showing signs of figuring as new resistance,0,0,0,1,0
94,"TRY OUR DISCORD COMMUNITY FOR FREEDo you want to learn more about crypto, trading and investing? And do you wan",0,0,0,0,1
95,Worth repeating that performing a Monthly Close below the green level could confirm a breakdown from the Month,0,0,0,1,0
96,Already a sharp rejection at the green ~$19800 levelContinued see-sawing in and around this level is to be e,0,0,0,1,0
97,"has recovered back above blackOf course, reclaiming it as support would be short-term bullishHowever, beca",0,0,0,1,0
98,: If the current Monthly Candle closes just like this...It will imply that this month's rebound from red Range Low of,0,0,0,1,0
99,"Recent bounce means that BTC is trying to break-back into its Monthly rangeThroughout September, $BTC has be",0,0,0,1,0
100,"Historically, tends to produce a downside wick below the -week MA ranging from % to %Currently,",0,1,0,0,0
101,"has rebounded from green support, while not actually touching the -MA$BTC continues to be sandwiched betw",0,0,0,1,0
102,has Weekly Closed below $19200 (black)Last time $BTC Weekly Closed below black was in December Back th,0,0,0,1,0
103,"has Weekly Closed below the black level before, but that was when price was in a macro uptrend (green circle)",0,1,0,0,0
104,has performed a Weekly Close below the black levelThis level has figured as support since mid-June,0,0,0,1,0
105,New Rekt Capital Newsletter has been published and the S&amp - a historical comparisonSign up and read,0,0,0,0,1
106,"To celebrate the Rekt Capital x Bitget partnership...When you signup via my link, you will get: % discount o",0,0,0,0,1
107,"One day, a Market will comeBut today is not that day",0,0,0,1,0
108,"just doesnt want to hold $20,000 as support$BTC",0,0,0,1,0
109,If you like my content - you might enjoy my newsletterThis is where I share: Macro Research (every Mond,0,0,0,0,1
110,": In , days before the HalvingIn , $BTC bottomed days before the Halving (discount March",0,0,0,1,0
111,": I've just published a new edition of the Rekt Capital newsletter""Altcoin Newsletter""I share my charts &amp; analysis on",0,0,0,0,1
112,Over three months later and here is how looks in the context of the post-Death Cross retracements$BTC has re,0,0,0,0,1
113,is very close to reaching the -MA (light blue)This is the MA where $BTC bottomed in March The -M,0,0,0,1,0
114,continues to hover just below the red Range Low of its macro rangeWhat this means is that an old support is,0,0,0,1,0
115,"I've just published a new edition of the Rekt Capital newsletter""Altcoin Newsletter""I share my charts &amp; analysi",0,0,0,0,1
116,$XRP / has rallied over +80% since breaking its multi-year technical downtrend dating back to November,0,0,0,1,0
117,"Later today, I'll be sharing my exclusive thoughts &amp; charts on different Altcoins in the Rekt Capital Newsletter",0,0,0,0,1
118,: New lows ahead for ?I just published a new Rekt Capital Newsletter where I discuss this topic in more detailI also,0,0,0,0,1
119,": Historically, tends to bottom at or below the -MA (orange)The -MA thus tends to offer opportunities with outs",0,0,0,1,0
120,New lows ahead for ?I just published a new Rekt Capital Newsletter where I discuss this topic in more detail,0,0,0,0,1
121,"forms this symmetrical triangle and the downside continuation from the rejection continuesIn fact, $BTC is t",0,0,0,1,0
122,has performed a Weekly Close below the multi-month Higher Low (black)This means BTC is invalidating this Hig,0,0,0,1,0
123,"Over the past weeks, would produce wicks below the black Higher Low, successfully rebounding from itHowever",0,0,0,1,0
124,is losing the multi-month Higher Low support (black)$BTC,0,0,0,1,0
125,": .And what would reach if BTC were to repeat a % crash post-Death Cross?This would result in a ~$11,500 $BTC",0,0,0,1,0
126,"Welcome to sub-$20,000 prices$BTC",0,0,0,1,0
127,Altcoins tend to retrace between % to % during Bear MarketsAltcoins that have retraced less thus far a,0,0,0,1,0
128,"In , days before the HalvingIn , $BTC bottomed days before the Halving (discount Ma",0,0,0,1,0
129,: Typical Bear Market bottoms tend to take months to develop before a new macro uptrend begins$BTC has been meanderin,0,0,0,1,0
130,: Bottom Signals Delta Cross (3) Within -8 DaysCrossed | June Deep Value Cross (2) Within -4 DaysCr,0,0,0,1,0
131,": I've just published a new edition of the Rekt Capital newsletter""Altcoin Newsletter""I share my charts &amp; analysis on",0,0,0,0,1
132,: is back under $20K againThe regularity at which this has been happening over the past months is problematicBecaus,0,0,0,1,0
133,has been weighing down on the Higher Low ever since the MA rejection (orange)However the HL is still hold,0,0,0,1,0
134,If you like my content - you might enjoy my newsletterThis is where I share: Macro Research (every Mond,0,0,0,0,1
135,"I've just published a new edition of the Rekt Capital newsletter""Altcoin Newsletter""I share my charts &amp; analysi",0,0,0,0,1
136,": Some of the best market insight on planet earth, well worth the small investment to grow your confidence within this",0,0,0,0,1
137,: Is heading for new lows amidst weakness?I discuss BTC and $ETH in today's newsletter and realistic scenarios on wha,0,0,0,1,0
138,The investor who is disappointed with $ETH price action post Merge is likely the same investor whod be disappointe,0,1,0,0,0
139,Bargain buyers &amp; long-term holders are buying nowIn fact theyve been buying for monthsGiven their dollar-,0,0,0,1,0
140,"In every cycle, has made a new All Time HighCurrent All Time High is ~$65,000Current price is $20,000The",0,0,0,1,0
141,People who bought a little too early in the Bear Market (eg at $35K) will outperform people who watched when B,0,1,0,0,0
142,"As investors, we will never have enough data to trust where the absolute bottom will beThats why we must ta",0,1,0,0,0
143,Giveaway Ending Soon Join the special promo to celebrate our partnership with Bitget: Open a trade o,0,0,0,0,1
144,": is down % since the Death Cross occurred in early Jan '22History suggests that whenever a Death Cross occurs,",0,0,0,1,0
145,is back under $20K againThe regularity at which this has been happening over the past months is problematic,0,0,0,1,0
146,"cleared $21000 &amp; revisited the -week MA (orange), where price rejected $BTC has since dropped to the Hig",0,0,0,1,0
147,Is heading for new lows amidst weakness?I discuss BTC and $ETH in today's newsletter and realistic scenarios,0,0,0,1,0
148,Weekly timeframe shows that the immediate Monthly resistance of ~$23400 (red) is a confluent resistance with t,0,0,0,1,0
149,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,1,0,0,0
150,BNB is $BNBBut can never be BTC,0,0,0,0,1
151,": "" has achieved a level of computing that no single nation state can overthrow it through computation alone."":",1,0,0,0,0
152,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
153,$gulf Preparing to peel off her fangs I feel it,0,0,0,0,1
154,"WallStreetBets Whales, just announced a BIG pump event! This Massive Signal will happen i",0,1,0,0,0
155,is about to begin! &amp; chatting about Be sure to subscribe to the,0,0,0,0,1
156,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
157,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
158,"WallStreetBets Whales, just announced a pump event! T",0,1,0,0,0
159,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
160,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
161,There's plenty of exchanges outside of US capable of running stops,0,0,0,1,0
162,"Not new mate. I invested ether into this, up ether in two weeks",0,0,0,0,1
163,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
164,"WallStreetBets Whales, just announced a BIG pump signal! This Massive Pump will happen in",0,1,0,0,0
165,: We are a very big family. Let's grow our family. Let's tweet as many times as we can each day. Let's follow each other and,0,0,0,0,1
166,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
167,In an average of per day for Mexico,1,0,0,0,0
168,"Who ever lost their money, go to the The Bahamas and confiscate and squat in those houses.",0,1,0,0,0
169,SAFU Audit KYC Liquidity locked for years % buy/sell tax Unique Baby NFT's WL only,0,1,0,0,0
170,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
171,"WallStreetBets Whales, has planned a very big pump! This Pump Ev",0,1,0,0,0
172,This is very good for commun1ty!,0,0,0,0,1
173,"WallStreetBets Whales, just announced a really BIG Signal! This Massive Signal will happen",0,0,0,1,0
174,"WallStreetBets Whales, just announced a really BIG pump signal! This Massive Signal will",0,0,0,1,0
175,So no customer ever withdrew Bitcoin from ftx?,0,0,0,1,0
176,Moldovan bank fraud scandal. Source wikipedia. Now sit down and shut up.,1,0,0,0,0
177,Will Greg's Tesla be clawed back?,0,0,1,0,0
178,For participation send from $ and above of either Bitcoin or Ethereum and send,0,0,0,1,0
179,BREAKING: FTX BANKRUPTCY LAWYERS REACH OUT TO &amp; OTHER POLITICAL AFFILIATIONS TO,0,1,0,0,0
180,: BREAKING El Salvador President: We are buying one day starting tomorrow.,1,0,0,0,0
181,"WallStreetBets Whales, just announced a really BIG Pump event! This Massive Pump Signal will",0,1,0,0,0
182,"WallStreetBets Whales, just announced a really BIG Signal Event! This Pump wi",0,1,0,0,0
183,"That's not true , on Sunday -11 they had ~20k",0,0,0,0,1
184,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
185,: This Indicator screams BOTTOM!,0,0,0,1,0
186,I wonder how the price would have been affected if they had been purchasing them for customers,0,1,0,0,0
187,Why is nobody talking about this? Uniswap is being exploited by this dude. More than $20,0,0,0,0,1
188,I Wish I discovered this earlier. Uniswap is being exploited by this dude. More than,0,0,0,0,1
189,"WallStreetBets Whales, has planned a really massive signal! This Signal will happen in",0,1,0,0,0
190,: My chat with Michael Saylor. We discussed: FTX - what were the Ethical digital assets Bitcoin custody Bear,0,0,0,0,1
191,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
192,"WallStreetBets Whales, has planned a massive signal! This Massive Signal will",0,1,0,0,0
193,Please elaborate what you meant by fake Bitcoin.,0,0,0,0,1
194,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
195,Sometimes people are there own worst enemy lol,0,0,0,0,1
196,"WallStreetBets Whales, just announced a pump signal! This Signal wil",0,1,0,0,0
197,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
198,DCA or dollar cost averaging is a brilliant plan. It should be a requirement in investing.,0,1,0,0,0
199,"Excellent points you made. I am always happy to hear your take on things, Michael. Great point",0,0,0,0,1
200,: This Indicator screams BOTTOM!,0,0,0,1,0
201,Man they dig f wells to get to water! And their president is buying $BTC instead of,0,0,0,1,0
202,Ftx will be the broker dealer mm,0,1,0,0,0
203,No....they ONLY had an apartment and a Toyota! Lol!!!,0,0,0,0,1
204,"WallStreetBets Whales, has planned a really big pump! This Pump Event will happen in few",0,0,0,1,0
205,"WallStreetBets Whales, just announced a really BIG Pump event! This Massive Signal will ha",0,0,0,1,0
206,"WallStreetBets Whales, just announced a really BIG Pump event! This Massive Signal will ha",0,0,0,1,0
207,Will this theft be bigger than OneCoin,0,0,0,0,1
208,: Who was on the other side of arrows and Alameda losing trades???,0,1,0,0,0
209,"WallStreetBets Whales, just announced a Signal Event! This Massive Pump will happen in ju",0,0,0,1,0
210,"WallStreetBets Whales, has planned a massive signal! This Signal will happen in just few h",0,0,0,1,0
211,Damn! Sam deserves to pick the soap bar behind the bars.,0,0,0,0,1
212,More than likely won't have support. Legislation was being craf,1,0,0,0,0
213,Why is this hidden from the public. More than $100k so far Uniswap,0,0,0,1,0
214,"WallStreetBets Whales, has planned a massive signal! This Pump Event will",0,1,0,0,0
215,"WallStreetBets Whales, just announced a really BIG pump signal! This Event will happen in j",0,1,0,0,0
216,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
217,"WallStreetBets Whales, just announced a pump signal! This Massive Pump will happen in",0,0,0,1,0
218,"WallStreetBets Whales, just announced a Signal Event! This Event will happen in just hou",0,0,0,1,0
219,Historically the market dumped every time they bought,0,0,0,1,0
220,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
221,So like what if someone withdrew bitcoin from their exchange?,0,0,0,0,1
222,Your telling all this time no one transferred his BTC to a wallet and realized had a fake BTC ?,0,1,0,0,0
223,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
224,"WallStreetBets Whales, has planned a really massive signal! This Massive Pump will happ",0,1,0,0,0
225,"WallStreetBets Whales, just announced a pump signal! This Signal Event wil",0,1,0,0,0
226,not all people take their bitcoin to their wallets. they keep it on exchanges. imagin,0,1,0,0,0
227,"Bitcoin will have bottomed during apathy stage when people stop asking ""did we bottom?""",0,0,0,1,0
228,"WallStreetBets Group, just announced a Signal! This Massive Signal wi",0,1,0,0,0
229,Why is nobody talking about this? Uniswap is being exploited by this dude. More than $200k s,0,0,0,1,0
230,So El Salvador never held any bitcoin?,1,0,0,0,0
231,Why is nobody talking about this? Uniswap is being exploited by this dude. More than $200k s,0,0,0,1,0
232,I Wish I discovered this earlier. Uniswap is being exploited by this dude. More than $200k s,0,0,0,1,0
233,"Yep, and I noticed this some time ago when querying directly after his announcement of",0,0,0,0,1
234,"WallStreetBets Whales, just announced a really BIG Massive Signal! This Massiv",0,1,0,0,0
235,This party is just getting warmed up .,0,0,0,0,1
236,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
237,This is very good for commun1ty! HPOA,0,0,0,0,1
238,This is very good for commun1ty! vlPs,0,0,0,0,1
239,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
240,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
241,This is very good for commun1ty!,0,0,0,0,1
242,"WallStreetBets Whales, just announced a really BIG Massive Event! This Pump Event",0,1,0,0,0
243,"WallStreetBets Whales, just announced a really BIG Massive Event! This Pump Event will happe",0,1,0,0,0
244,It's not hard. They are just telling that FTX was a fake exchange and was just meant to fin,0,0,0,1,0
245,"WallStreetBets Whales, just announced a really BIG Pump event! Th",0,1,0,0,0
246,"WallStreetBets Whales, just announced a really BIG Massive Event!",0,1,0,0,0
247,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
248,": If you can't answer ""YES"" to the following questions, don't buy Bitcoin or other crypto assets:1. Have you read the Bitco",0,0,0,0,1
249,yes they should i wrote him many times they must have somewhere else so m,0,0,0,0,1
250,"WallStreetBets Whales, just announced a really BIG Signal Event! This Signal will happen in",0,1,0,0,0
251,"WallStreetBets Whales, just announced a pump signal! This Pump Event will happen in just h on",0,1,0,0,0
252,": This is how he made money, essentially he had connections",0,0,0,0,1
253,"The problem is we never know, because they're protected by the government and",1,0,0,0,0
254,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
255,Because they have unlimited usdt,0,0,0,0,1
256,This is very good for commun1ty!,0,0,0,0,1
257,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
258,I Wish I discovered this earlier. Uniswap is being exploited by this dude. More than $,0,0,0,1,0
259,"Yeah. Regardless of the outcome, John Ray gunna get PAID for unwinding this mess.",0,1,0,0,0
260,"WallStreetBets Whales, just announced a BIG pump event! This Event will happen in just",0,1,0,0,0
261,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
262,"WallStreetBets Whales, just announced a Signal! This Massive Signal will happen in just",0,1,0,0,0
263,"WallStreetBets Whales, just announced a really BIG Signal! This Signal Event will happen",0,1,0,0,0
264,"WallStreetBets Whales, just announced a BIG pump signal! This Massive Pump will happen i",0,1,0,0,0
265,Bullish on $MablePrix A Unique web3 gaming eco First of its kind in Crypto spaceLaunching,0,0,0,1,0
266,Bullish on $MablePrix A Unique web3 gaming eco First of its kind in Crypto spaceLaunching,0,0,0,1,0
267,"the fate of BTC and crypto is in the hands of Binance, don't let Binance collapse, if Binance collapses i",0,0,0,1,0
268,"WallStreetBets Whales, just announced a Signal! This Event will happen in few days on",0,1,0,0,0
269,"WallStreetBets Whales, just announced a BIG pump event! This Massive Pump Signal will ha",0,1,0,0,0
270,"WallStreetBets Whales, just announced a BIG Signal Event! This Event will happen in just",0,1,0,0,0
271,This is very good for commun1ty! uPcs,0,0,0,0,1
272,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
273,"To where,my sollet just stopped opening",0,0,0,0,1
274,"WallStreetBets Group, just announced a Signal! This Signal will happen in few days on",0,1,0,0,0
275,"WallStreetBets Whales, just announced a really BIG Massive Event! This Massive Signal w",0,1,0,0,0
276,"WallStreetBets Whales, just announced a Signal Event! This Signal",0,1,0,0,0
277,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
278,You're telling me he is ground pounding Caroline &amp; he didn't know. GTFOH SBF. Ain't nobody buying ur bullshit.,0,0,0,0,1
279,"Well, now someone else will be manipulating it. So what's the difference?",0,1,0,0,0
280,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
281,"With recent developments and everything going on in the cryptoverse, rise Bitcoin maximalist. It's not going away",0,1,0,0,0
282,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
283,Thats the problem. Most users didnt move it to their wallet. Most had it locked up for yield.,0,0,0,0,1
284,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
285,"WallStreetBets Whales, just announced a BIG Signal! This Pump will happen in just ho",0,1,0,0,0
286,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
287,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
288,I guess we are all going to the Bahamas. After all investors own portions of those homes,1,0,0,0,0
289,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
290,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
291,"WallStreetBets Whales, just announced a really BIG pump signal! This Event will happen in just",0,1,0,0,0
292,"WallStreetBets Whales, just announced a BIG Signal! This Pump Event will happen in",0,1,0,0,0
293,"WallStreetBets Whales, just announced a really BIG Massive Event! This Signal Event will happe",0,1,0,0,0
294,"WallStreetBets Whales, just announced a really BIG Pump Event! This Signal will happen in just",0,1,0,0,0
295,"WallStreetBets Whales, just announced a pump event! This Event will happen in jus",0,1,0,0,0
296,"how is that possibleso my btc on my ledger i bought from ftx is fake ?thats nonsence, the tweet is missleading",0,0,0,0,1
297,they didnt or they never had non sence,0,0,0,0,1
298,: BREAKING El Salvador President: We are buying one day starting tomorrow.,1,0,0,0,0
299,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
300,How do we prevent this from happening again?,0,0,0,0,1
301,: FTX HELD ZERO were selling fake Bitcoin. Take your Bitcoin OFF exchanges!,0,0,0,1,0
302,This is very good for commun1ty! SJol,0,0,0,0,1
